sheet_index,project_index,project_acc_bioprj,biosample_acc_sra,run_acc_sra,sampleEnteredBy,collectorList,materialSampleID,genus,specificEpithet,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,country,georeferenceProtocol,habitat,microHabitat,environmentalMedium,yearCollected,monthCollected,dayCollected,establishmentMeans,permitInformation,associatedReferences,preservative,derivedGeneticDataType,derivedGeneticDataURI,derivedGeneticDataFormat,derivedGeneticDataFilename,derivedGeneticDataRemarks,phylum,class,order,family,colloquialName,nomenclaturalCode,scientificNameID,infraspecies,lifeStage,sex,otherCatalogNumbers,associatedMedia,samplingProtocol,tissueType,continentOcean,island,maximumDepthInMeters,maximumElevationInMeters,minimumDepthInMeters,minimumElevationInMeters,stateProvince,landOwner,library_selection_sra,library_strat_sra,read_type_sra,sequencing_platform,instrument_model,study_acc_sra,experiment_acc_sra,package_biosamp,dataset_id
0001,M0066,PRJNA563695,SAMN12685932,SRR10062055,Sofia Beskid,Michelle Stuart,APCL13_528_L0666,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,2,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795756,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0012,M0066,PRJNA563695,SAMN12747295,SRR10118750,Sofia Beskid,Michelle Stuart,APCL16_607_L5299,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848142,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0013,M0066,PRJNA563695,SAMN12742636,SRR10114555,Sofia Beskid,Michelle Stuart,APCL15_371421_L2805,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,29,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844020,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0014,M0066,PRJNA563695,SAMN12742841,SRR10114999,Sofia Beskid,Michelle Stuart,APCL15_400408_L3061,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,1,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844248,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0015,M0066,PRJNA563695,SAMN12686699,SRR10061499,Sofia Beskid,Michelle Stuart,APCL12_079_L2565,Amphiprion,Amphiprion clarkii,,,,,,,,,,2012,5,9,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795640,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0016,M0066,PRJNA563695,SAMN12686232,SRR10062385,Sofia Beskid,Michelle Stuart,APCL14_298_L1016,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,22,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796089,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0017,M0066,PRJNA563695,SAMN12746725,SRR10118083,Sofia Beskid,Michelle Stuart,APCL18_493_L4000,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,21,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847590,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0018,M0066,PRJNA563695,SAMN12686186,SRR10062436,Sofia Beskid,Michelle Stuart,APCL14_194_L0958,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,17,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796038,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0019,M0066,PRJNA563695,SAMN12742670,SRR10114518,Sofia Beskid,Michelle Stuart,APCL15_354408_L2841,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,14,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844057,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0020,M0066,PRJNA563695,SAMN12747305,SRR10118739,Sofia Beskid,Michelle Stuart,APCL16_617_L5309,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848153,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0021,M0066,PRJNA563695,SAMN12686078,SRR10061893,Sofia Beskid,Michelle Stuart,APCL14_261_L0818,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,22,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795918,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0022,M0066,PRJNA563695,SAMN12685936,SRR10062050,Sofia Beskid,Michelle Stuart,APCL13_565_L0670,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,3,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795761,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0023,M0066,PRJNA563695,SAMN12686690,SRR10061509,Sofia Beskid,Michelle Stuart,APCL12_029_L2554,Amphiprion,Amphiprion clarkii,,,,,,,,,,2012,5,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795630,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0024,M0066,PRJNA563695,SAMN12742627,SRR10114565,Sofia Beskid,Michelle Stuart,APCL15_404829_L2796,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,30,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844010,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0025,M0066,PRJNA563695,SAMN12686053,SRR10061921,Sofia Beskid,Michelle Stuart,APCL14_242_L0792,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,18,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795890,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0026,M0066,PRJNA563695,SAMN12686066,SRR10061906,Sofia Beskid,Michelle Stuart,APCL14_389_L0805,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,23,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795905,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0027,M0066,PRJNA563695,SAMN12686448,SRR10062145,Sofia Beskid,Michelle Stuart,APCL12_098_L2213,Amphiprion,Amphiprion clarkii,,,,,,,,,,2012,5,9,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796329,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0028,M0066,PRJNA563695,SAMN12746831,SRR10117965,Sofia Beskid,Michelle Stuart,APCL18_624_L4114,Amphiprion,Amphiprion clarkii,,,,,,,,,,2018,3,31,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847708,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0029,M0066,PRJNA563695,SAMN12685963,SRR10062021,Sofia Beskid,Michelle Stuart,APCL13_654_L0697,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,6,4,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795790,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0030,M0066,PRJNA563695,SAMN12742522,SRR10114681,Sofia Beskid,Michelle Stuart,APCL15_355903_L2681,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,6,9,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6843894,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0031,M0066,PRJNA563695,SAMN12686075,SRR10061896,Sofia Beskid,Michelle Stuart,APCL14_443_L0815,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,24,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795915,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0032,M0066,PRJNA563695,SAMN12685718,SRR10061481,Sofia Beskid,Michelle Stuart,APCL13_237_L0270,Amphiprion,Amphiprion clarkii,,,,,,,,,,2013,5,27,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795658,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0033,M0066,PRJNA563695,SAMN12747054,SRR10118471,Sofia Beskid,Michelle Stuart,APCL16_277_L5041,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,25,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847874,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0034,M0066,PRJNA563695,SAMN12743191,SRR10114814,Sofia Beskid,Michelle Stuart,APCL16_045_L3707,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,13,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844433,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0035,M0066,PRJNA563695,SAMN12686215,SRR10062403,Sofia Beskid,Michelle Stuart,APCL14_188_L0993,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,17,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796071,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0036,M0066,PRJNA563695,SAMN12747174,SRR10118337,Sofia Beskid,Michelle Stuart,APCL16_038_L5169,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,5,13,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848008,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0037,M0066,PRJNA563695,SAMN12742632,SRR10114559,Sofia Beskid,Michelle Stuart,APCL15_372956_L2801,Amphiprion,Amphiprion clarkii,,,,,,,,,,2015,5,29,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844016,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0038,M0066,PRJNA563695,SAMN12747343,SRR10118697,Sofia Beskid,Michelle Stuart,APCL16_665_L5350,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848195,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0039,M0066,PRJNA563695,SAMN12747350,SRR10118689,Sofia Beskid,Michelle Stuart,APCL16_673_L5358,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,6,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848203,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0040,M0066,PRJNA563695,SAMN12742971,SRR10114874,Sofia Beskid,Michelle Stuart,APCL17_130_L3323,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,5,19,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844373,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0041,M0066,PRJNA563695,SAMN12743086,SRR10115338,Sofia Beskid,Michelle Stuart,APCL17_570_L3551,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,10,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844572,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0042,M0066,PRJNA563695,SAMN12746952,SRR10117912,Sofia Beskid,Michelle Stuart,APCL17_462_L4934,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,6,5,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6847761,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0043,M0066,PRJNA563695,SAMN12686590,SRR10061620,Sofia Beskid,Michelle Stuart,APCL14_332_L2399,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,24,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6795519,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0044,M0066,PRJNA563695,SAMN12747458,SRR10118590,Sofia Beskid,Michelle Stuart,APCL17_339_L5479,Amphiprion,Amphiprion clarkii,,,,,,,,,,2017,5,30,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,male,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6848302,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0045,M0066,PRJNA563695,SAMN12686169,SRR10061792,Sofia Beskid,Michelle Stuart,APCL14_461_L0937,Amphiprion,Amphiprion clarkii,,,,,,,,,,2014,6,26,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,juvenile,,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6796019,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
0046,M0066,PRJNA563695,SAMN12743021,SRR10114748,Sofia Beskid,Michelle Stuart,APCL16_810_L3375,Amphiprion,Amphiprion clarkii,,,,,,,,,,2016,6,15,,,,,,,,,,Chordata,Actinopteri,,Pomacentridae,yellowtail clownfish,NCBI queried: Fri Jul 17 11:55:33 2020,80970,NA,adult,female,,,,tail fin,,,,,,,,,ReducedRepresentation,RAD-Seq,SINGLE,ILLUMINA,Illumina HiSeq 2500,SRP220170,SRX6844499,Model organism or animal; version 1.0,PRJNA563695_Amphiprion-clarkii
