"sheet_index","project_index","project_acc_bioprj","biosample_acc_sra","run_acc_sra","sampleEnteredBy","collectorList","materialSampleID","genus","specificEpithet","locality","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","country","georeferenceProtocol","habitat","microHabitat","environmentalMedium","yearCollected","monthCollected","dayCollected","establishmentMeans","permitInformation","associatedReferences","preservative","derivedGeneticDataType","derivedGeneticDataURI","derivedGeneticDataFormat","derivedGeneticDataFilename","derivedGeneticDataRemarks","phylum","class","order","family","colloquialName","nomenclaturalCode","scientificNameID","infraspecies","lifeStage","sex","otherCatalogNumbers","associatedMedia","samplingProtocol","tissueType","continentOcean","island","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","stateProvince","landOwner","library_selection_sra","library_strat_sra","read_type_sra","sequencing_platform","instrument_model","study_acc_sra","experiment_acc_sra","package_biosamp","dataset_id","ligation_id.x","sample_id.x","site.x","date_time.x","gps.x","year.x","month.x","day.x","hour.x","minute.x","lat.x","lon.x","ligation_id.y","sample_id.y","site.y","date_time.y","gps.y","year.y","month.y","day.y","hour.y","minute.y","lat.y","lon.y"
11,"M0066","PRJNA563695","SAMN12685722","SRR10062109","Sofia Beskid","Michelle Stuart","APCL13_241_L0274","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795702","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0274","APCL13_241","Palanas",2013-05-27 06:38:00,1,2013,5,27,6,38,10.8743785,124.710605,"L0274","APCL13_241","Palanas",2013-05-27 06:38:00,1,2013,5,27,6,38,10.8743785,124.710605
12,"M0066","PRJNA563695","SAMN12747295","SRR10118750","Sofia Beskid","Michelle Stuart","APCL16_607_L5299","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848142","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5299","APCL16_607","Cabatoan",2016-06-06 01:08:00,4,2016,6,6,1,8,10.855606708225,124.726181630975,"L5299","APCL16_607","Cabatoan",2016-06-06 01:08:00,4,2016,6,6,1,8,10.855606708225,124.726181630975
13,"M0066","PRJNA563695","SAMN12742636","SRR10114555","Sofia Beskid","Michelle Stuart","APCL15_371421_L2805","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844020","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2805","APCL15_371421","Palanas",2015-05-29 06:15:00,3,2015,5,29,6,15,10.874248459,124.71081810535,"L2805","APCL15_371421","Palanas",2015-05-29 06:15:00,3,2015,5,29,6,15,10.874248459,124.71081810535
14,"M0066","PRJNA563695","SAMN12742841","SRR10114999","Sofia Beskid","Michelle Stuart","APCL15_400408_L3061","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844248","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L3061","APCL15_400408","Wangag",2015-06-01 03:29:00,3,2015,6,1,3,29,10.87186540015,124.713713885275,"L3061","APCL15_400408","Wangag",2015-06-01 03:29:00,3,2015,6,1,3,29,10.87186540015,124.713713885275
15,"M0066","PRJNA563695","SAMN12686699","SRR10061499","Sofia Beskid","Michelle Stuart","APCL12_079_L2565","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795640","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2565","APCL12_079","Palanas",2012-05-09 02:13:00,1,2012,5,9,2,13,10.8737495,124.7112805,"L2565","APCL12_079","Palanas",2012-05-09 02:13:00,1,2012,5,9,2,13,10.8737495,124.7112805
16,"M0066","PRJNA563695","SAMN12686232","SRR10062385","Sofia Beskid","Michelle Stuart","APCL14_298_L1016","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796089","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L1016","APCL14_298","Sitio Baybayon",2014-06-22 06:02:00,1,2014,6,22,6,2,10.6347615,124.7762995,"L1016","APCL14_298","Sitio Baybayon",2014-06-22 06:02:00,1,2014,6,22,6,2,10.6347615,124.7762995
17,"M0066","PRJNA563695","SAMN12746725","SRR10118083","Sofia Beskid","Michelle Stuart","APCL18_493_L4000","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847590","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L4000","APCL18_493","Wangag",2018-03-21 03:52:00,6,2018,3,21,3,52,10.8692688960667,124.716451177367,"L4000","APCL18_493","Wangag",2018-03-21 03:52:00,6,2018,3,21,3,52,10.8692688960667,124.716451177367
18,"M0066","PRJNA563695","SAMN12686186","SRR10062436","Sofia Beskid","Michelle Stuart","APCL14_194_L0958","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796038","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0958","APCL14_194","Palanas",2014-06-17 06:50:00,1,2014,6,17,6,50,10.87348925,124.71214975,"L0958","APCL14_194","Palanas",2014-06-17 06:50:00,1,2014,6,17,6,50,10.87348925,124.71214975
19,"M0066","PRJNA563695","SAMN12742670","SRR10114518","Sofia Beskid","Michelle Stuart","APCL15_354408_L2841","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,6,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844057","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2841","APCL15_354408","Sitio Baybayon",2015-06-14 03:34:00,3,2015,6,14,3,34,10.63427677145,124.7767812945,"L2841","APCL15_354408","Sitio Baybayon",2015-06-14 03:34:00,3,2015,6,14,3,34,10.63427677145,124.7767812945
20,"M0066","PRJNA563695","SAMN12747305","SRR10118739","Sofia Beskid","Michelle Stuart","APCL16_617_L5309","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6848153","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L5309","APCL16_617","Cabatoan",2016-06-06 01:45:00,4,2016,6,6,1,45,10.8555073198,124.726161304875,"L5309","APCL16_617","Cabatoan",2016-06-06 01:45:00,4,2016,6,6,1,45,10.8555073198,124.726161304875
21,"M0066","PRJNA563695","SAMN12686078","SRR10061893","Sofia Beskid","Michelle Stuart","APCL14_261_L0818","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795918","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0818","APCL14_261","Sitio Baybayon",2014-06-22 01:47:00,1,2014,6,22,1,47,10.63428,124.77669525,"L0818","APCL14_261","Sitio Baybayon",2014-06-22 01:47:00,1,2014,6,22,1,47,10.63428,124.77669525
22,"M0066","PRJNA563695","SAMN12685936","SRR10062050","Sofia Beskid","Michelle Stuart","APCL13_565_L0670","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795761","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0670","APCL13_565","Sitio Baybayon",2013-06-03 04:54:00,1,2013,6,3,4,54,10.633602,124.7767905,"L0670","APCL13_565","Sitio Baybayon",2013-06-03 04:54:00,1,2013,6,3,4,54,10.633602,124.7767905
23,"M0066","PRJNA563695","SAMN12686690","SRR10061509","Sofia Beskid","Michelle Stuart","APCL12_029_L2554","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795630","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2554","APCL12_029","Visca",2012-05-06 07:22:00,1,2012,5,6,7,22,10.74403675,124.78627525,"L2554","APCL12_029","Visca",2012-05-06 07:22:00,1,2012,5,6,7,22,10.74403675,124.78627525
24,"M0066","PRJNA563695","SAMN12742627","SRR10114565","Sofia Beskid","Michelle Stuart","APCL15_404829_L2796","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6844010","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2796","APCL15_404829","Palanas",2015-05-30 06:47:00,3,2015,5,30,6,47,10.873045383475,124.712185466175,"L2796","APCL15_404829","Palanas",2015-05-30 06:47:00,3,2015,5,30,6,47,10.873045383475,124.712185466175
25,"M0066","PRJNA563695","SAMN12686053","SRR10061921","Sofia Beskid","Michelle Stuart","APCL14_242_L0792","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795890","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0792","APCL14_242","N. Magbangon",2014-06-18 07:06:00,1,2014,6,18,7,6,10.86126925,124.72149775,"L0792","APCL14_242","N. Magbangon",2014-06-18 07:06:00,1,2014,6,18,7,6,10.86126925,124.72149775
26,"M0066","PRJNA563695","SAMN12686066","SRR10061906","Sofia Beskid","Michelle Stuart","APCL14_389_L0805","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,6,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"juvenile","",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6795905","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L0805","APCL14_389","Wangag",2014-06-23 07:09:00,1,2014,6,23,7,9,10.87132925,124.7142195,"L0805","APCL14_389","Wangag",2014-06-23 07:09:00,1,2014,6,23,7,9,10.87132925,124.7142195
27,"M0066","PRJNA563695","SAMN12686448","SRR10062145","Sofia Beskid","Michelle Stuart","APCL12_098_L2213","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","female",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6796329","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L2213","APCL12_098","Palanas",2012-05-09 05:01:00,1,2012,5,9,5,1,10.8733195,124.712191,"L2213","APCL12_098","Palanas",2012-05-09 05:01:00,1,2012,5,9,5,1,10.8733195,124.712191
28,"M0066","PRJNA563695","SAMN12746831","SRR10117965","Sofia Beskid","Michelle Stuart","APCL18_624_L4114","Amphiprion","Amphiprion clarkii",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,3,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chordata","Actinopteri",NA,"Pomacentridae","yellowtail clownfish","NCBI queried: Fri Jul 17 11:55:33 2020",80970,NA,"adult","male",NA,NA,NA,"tail fin",NA,NA,NA,NA,NA,NA,NA,NA,"ReducedRepresentation","RAD-Seq","SINGLE","ILLUMINA","Illumina HiSeq 2500","SRP220170","SRX6847708","Model organism or animal; version 1.0","PRJNA563695_Amphiprion-clarkii","L4114","APCL18_624","Palanas",2018-03-31 03:36:00,4,2018,3,31,3,36,10.8738701837,124.710576790375,"L4114","APCL18_624","Palanas",2018-03-31 03:36:00,4,2018,3,31,3,36,10.8738701837,124.710576790375
